780	1.0	2.10	0.09
790	1.0	2.11	0.09
800	1.0	2.10	0.10
810	1.0	2.09	0.11
820	1.0	2.09	0.11
830	1.0	2.09	0.10
840	1.0	2.09	0.10
850	1.0	2.09	0.13
860	1.0	2.07	0.12
870	1.0	2.10	0.13
880	1.0	2.09	0.27
890	1.0	2.10	0.27
900	1.0	2.10	0.27
910	1.0	2.09	0.27
920	1.0	2.08	0.13
930	1.0	2.10	0.27
940	1.0	2.10	0.13
950	1.0	2.09	0.11
960	1.0	2.09	0.13
970	1.0	2.10	0.11
980	1.0	2.10	0.12
990	1.0	2.11	0.11
1000	1.0	2.11	0.12
1010	1.0	2.11	0.11
1020	1.0	2.11	0.11
1030	1.0	2.11	0.11
1040	1.0	2.09	0.11
1050	1.0	2.09	0.11
1060	1.0	2.10	0.10
1070	1.0	2.08	0.11
1080	1.0	2.07	0.09
1090	1.0	2.06	0.11
1100	1.0	2.06	0.11
1110	1.0	1.90	0.08
1120	1.0	1.87	0.08
1130	1.0	1.73	0.08
1140	1.0	1.72	0.11
1150	1.0	1.55	0.13
1160	1.0	1.52	0.12
1170	1.0	1.49	0.11
1180	1.0	1.34	0.10
1190	1.0	1.35	0.09
1200	1.0	1.29	-0.07
1210	1.0	1.29	-0.07
1220	33.0	1.15	0.09
1230	1.0	1.29	-0.07
1240	33.0	1.07	-0.06
1250	1.0	1.29	-0.07
1260	33.0	0.96	0.09
1270	1.0	1.29	-0.07
1280	33.0	0.94	0.10
1290	33.0	0.84	0.08
1300	33.0	0.83	-0.07
1310	33.0	0.73	0.08
1320	33.0	0.54	0.06
1330	33.0	0.55	0.07
1340	33.0	0.51	-0.09
1350	33.0	0.51	-0.09
1360	33.0	0.51	-0.09
1370	39.0	0.32	0.08
1380	33.0	0.51	-0.09
1390	39.0	0.32	0.08
1400	33.0	0.51	-0.09
1410	39.0	0.32	0.06
1420	39.0	0.29	-0.07
1430	39.0	0.29	-0.07
1440	39.0	0.29	-0.07
1450	39.0	0.27	0.07
1460	39.0	0.28	0.08
1470	39.0	0.31	0.09
1480	39.0	0.30	0.08
1490	39.0	0.32	0.07
1500	39.0	0.36	0.07
1510	39.0	0.52	0.07
1520	39.0	0.55	0.10
1530	39.0	0.71	0.09
1540	39.0	0.75	0.13
1550	39.0	0.84	0.13
1560	39.0	0.88	0.11
1570	39.0	0.95	0.12
1580	39.0	0.96	0.11
1590	39.0	1.07	0.12
1600	39.0	1.14	0.12
1610	39.0	1.14	0.12
1620	39.0	1.32	0.12
1630	39.0	1.34	0.10
1640	39.0	1.45	0.10
1650	39.0	1.51	0.10
1660	39.0	1.53	0.12
1670	39.0	1.65	0.10
1680	39.0	1.70	0.10
1690	39.0	1.74	0.12
1700	39.0	1.75	0.11
1710	39.0	1.86	0.11
1720	39.0	1.89	0.10
1730	39.0	1.92	0.11
1740	39.0	1.94	0.09
1750	39.0	1.94	0.09
1760	39.0	1.95	0.09
1770	39.0	1.95	0.11
1780	39.0	2.06	0.11
1790	39.0	1.94	0.09
1800	39.0	1.94	0.11
1810	39.0	1.94	0.11
1820	39.0	1.92	0.09
1830	39.0	1.90	0.10
1840	39.0	1.86	0.08
1850	39.0	1.73	0.10
1860	39.0	1.68	0.11
1870	39.0	1.64	0.11
1880	39.0	1.54	0.12
1890	39.0	1.50	0.11
1900	39.0	1.36	0.12
1910	39.0	1.34	0.12
1920	39.0	1.31	0.09
1930	39.0	1.16	0.10
1940	39.0	1.13	0.10
1950	39.0	1.08	0.10
1960	39.0	1.08	0.10
1970	39.0	1.08	0.10
1980	39.0	1.08	0.10
1990	39.0	0.89	0.09
2000	39.0	0.89	0.09
2010	39.0	0.89	0.09
2020	39.0	0.89	0.09
2030	39.0	0.71	0.11
2040	39.0	0.71	0.11
2050	39.0	0.70	0.11
2060	39.0	0.70	0.10
2070	39.0	0.70	0.10
2080	39.0	0.69	0.10
2090	39.0	0.69	0.08
2100	39.0	0.69	0.08
2110	39.0	0.71	0.08
2120	39.0	0.72	0.09
2130	39.0	0.84	0.11
2140	39.0	0.86	0.11
2150	39.0	0.86	0.11
2160	39.0	0.87	0.12
2170	39.0	0.87	0.12
2180	39.0	0.87	0.12
2190	39.0	0.87	0.12
2200	39.0	0.87	0.12
2210	97.0	0.75	0.33
2220	97.0	0.74	0.33
2230	97.0	0.74	0.33
2240	97.0	0.74	0.33
2250	97.0	0.74	0.33
2260	97.0	0.74	0.33
2270	97.0	0.85	0.32
2280	97.0	0.85	0.32
2290	97.0	0.85	0.32
2300	97.0	0.85	0.32
2310	97.0	0.85	0.32
2320	104.0	0.94	0.30
2330	104.0	0.96	0.32
2340	104.0	0.96	0.32
2350	104.0	0.96	0.32
2360	104.0	0.96	0.32
2370	109.0	1.08	0.11
2380	104.0	0.96	0.32
2390	109.0	1.13	0.14
2400	109.0	1.15	0.12
2410	109.0	1.24	0.12
2420	109.0	1.30	0.11
2430	109.0	1.34	0.12
2440	109.0	1.45	0.11
2450	109.0	1.51	0.12
2460	109.0	1.54	0.13
2470	109.0	1.55	0.12
2480	109.0	1.69	0.11
2490	109.0	1.71	0.09
2500	109.0	1.74	0.08
2510	109.0	1.85	0.09
2520	109.0	1.88	0.07
2530	109.0	1.90	0.08
2540	109.0	1.90	0.09
2550	109.0	1.93	-0.08
2560	109.0	1.91	-0.07
2570	109.0	1.92	-0.08
2580	109.0	1.93	-0.08
2590	109.0	1.91	0.08
2600	109.0	1.92	-0.07
2610	109.0	1.90	0.09
2620	109.0	1.90	0.08
2630	109.0	1.88	0.08
2640	109.0	1.86	0.07
2650	109.0	1.73	0.08
2660	109.0	1.72	0.09
2670	109.0	1.66	0.08
2680	109.0	1.54	0.10
2690	109.0	1.51	0.10
2700	109.0	1.36	0.08
2710	109.0	1.35	0.09
2720	109.0	1.32	0.08
2730	109.0	1.32	0.08
2740	109.0	1.15	0.10
2750	109.0	1.13	0.10
2760	109.0	1.04	0.09
2770	109.0	0.96	0.08
2780	109.0	0.94	0.09
2790	109.0	0.91	0.10
2800	109.0	0.85	-0.06
2810	109.0	0.75	0.08
2820	109.0	0.73	0.08
2830	109.0	0.55	0.06
2840	109.0	0.54	0.07
2850	109.0	0.53	0.08
2860	109.0	0.34	0.10
2870	109.0	0.34	0.10
2880	109.0	0.34	-0.06
2890	109.0	0.32	0.06
2900	109.0	0.29	-0.07
2910	109.0	0.29	-0.07
2920	109.0	0.29	-0.07
2930	149.0	2.30	-1.75
2940	109.0	0.29	-0.07
2950	149.0	2.30	-1.75
2960	109.0	0.29	0.08
2970	149.0	2.30	-1.75
2980	109.0	0.30	0.08
2990	149.0	2.30	-1.75
3000	109.0	0.31	0.10
3010	149.0	2.30	-1.75
3020	109.0	0.31	0.09
3030	109.0	0.31	0.08
3040	109.0	0.31	0.12
3050	109.0	0.27	0.10
3060	109.0	0.31	0.07
3070	109.0	0.29	0.12
3080	109.0	0.31	0.14
3090	109.0	0.31	0.14
3100	109.0	0.31	0.14
